Name,Gender
A. J. Ayer,Unknown
Abdulrazak Gurnah,Unknown
Alan Turing,Male
Albert Camus,Male
Albert Einstein,Male
Albert I of Belgium,Male
Alciphron (book),Unknown
Aleksandr Solzhenitsyn,Male
Alexander Bain (philosopher),Male
Alexandre Kojève,Male
Alexandre Koyré,Male
Alexandre Ribot,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alice Munro,Female
Alvin Goldman,Male
Alvin Plantinga,Male
André Gide,Male
André Roussin,Male
Andy Clark,Male
Ann Banfield,Female
Anne Fagot-Largeau,Female
Antonio Gramsci,Male
Antonio Negri,Male
Arthur Compton,Male
Arthur Lovejoy,Male
Arthur Mitchell (physician),Male
Arthur Schopenhauer,Male
Benedetto Croce,Male
Benjamin Lee Whorf,Male
Bergson (surname),Unknown
Bernard Bolzano,Male
Bertrand Russell,Male
Bjørnstjerne Bjørnson,Unknown
Bob Dylan,Male
Bologna,Unknown
Boris Pasternak,Male
Bruno Latour,Male
C. D. Broad,Unknown
C. Lloyd Morgan,Unknown
Camilo José Cela,Male
Carl Schmitt,Male
Carl Spitteler,Male
Charles Darwin,Male
Charles Lévêque,Male
Charles Sanders Peirce,Male
Charles Thomson Rees Wilson,Male
Christian Wolff (philosopher),Male
Chrysippus,Unknown
Clarendon Press,Unknown
Claude Bernard,Male
Claude Lancelot,Male
Claude Lévi-Strauss,Male
Claude Simon,Male
Creative Evolution (book),Unknown
Daniel-Henry Kahnweiler,Unknown
Daniel Dennett,Male
Dario Fo,Male
Dasein,Unknown
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Derek Parfit,Male
Derek Walcott,Male
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Doris Lessing,Female
E. B. Holt,Unknown
Edith Stein,Female
Edmund Husserl,Male
Edward Said,Male
Edward Sapir,Male
Elias Canetti,Male
Elizabeth Grosz,Female
Emile Ollivier,Male
Emmanuel Levinas,Male
Erik Axel Karlfeldt,Male
Ernest Hemingway,Male
Ernst Cassirer,Male
Eugene O'Neill,Male
Eugenio Montale,Male
Eyvind Johnson,Male
Felix Alcan,Male
Francisco Suárez,Male
Frank Cameron Jackson,Male
Frans Eemil Sillanpää,Male
Frantz Fanon,Male
Franz Boas,Male
Franz Brentano,Male
François Mauriac,Male
Fred Dretske,Male
Fredric Jameson,Male
Friedrich Engels,Male
Friedrich Nietzsche,Male
Friedrich Wilhelm Joseph Schelling,Male
Fritz Mauthner,Male
Félix Guattari,Male
Félix Ravaisson,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gabriel García Márquez,Male
Gabriel Marcel,Male
Gabriel Tarde,Male
Gabriela Mistral,Female
Gao Xingjian,Unknown
Gaston Bachelard,Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Bernard Shaw,Male
George Santayana,Male
Georges Bataille,Male
Georges Politzer,Male
Gerhart Hauptmann,Male
Gifford Lectures,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giorgio Agamben,Male
Giovanni Gentile,Male
Giuseppe Bianco,Male
Glenn Dynner,Male
Gottfried Wilhelm Leibniz,Male
Guy Debord,Male
György Lukács,Male
Günter Grass,Male
Hannah Arendt,Female
Hans Adolf Eduard Driesch,Male
Harold Pinter,Male
Harry Martinson,Male
Hegel,Unknown
Heinrich Böll,Male
Heinrich Otto Wieland,Male
Helle Lambridis,Female
"Henri-Jacques Nompar de Caumont, duc de La Force",Unknown
Henri Lefebvre,Male
Henrik Pontoppidan,Male
Henryk Sienkiewicz,Male
Herbert Marcuse,Male
Herbert Spencer,Male
Hermann Hesse,Male
Hermann Lotze,Male
Herta Müller,Female
Hibbert Lectures,Unknown
Hugh Tomlinson,Male
Huxley Lecture,Unknown
Hélène Cixous,Female
Ibn Khaldun,Unknown
Immanuel Kant,Male
Imre Kertész,Male
Introduction to Metaphysics (Bergson),Unknown
Irving Babbitt,Male
Isaac Bashevis Singer,Male
Isaac Newton,Male
Isaac de Benserade,Male
Israel Zolli,Male
Ivan Bunin,Male
J. L. Austin,Unknown
J. M. Coetzee,Unknown
J. M. G. Le Clézio,Unknown
Jaakko Hintikka,Male
Jacinto Benavente,Male
Jacques Derrida,Male
Jacques Lacan,Male
Jacques Maritain,Male
Jacques Rancière,Male
Jaroslav Seifert,Male
Jean-Luc Nancy,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jean Chapelain,Male
Jean Piaget,Male
Jean Wahl,Male
Jerry Fodor,Male
Jimena Canales,Female
Johann Gottfried Herder,Male
Johann Gottlieb Fichte,Male
Johannes V. Jensen,Male
John Galsworthy,Male
John Locke,Male
John Mullarkey,Male
John Searle,Male
John Steinbeck,Male
John Wilkins,Male
Jon Fosse,Male
Joseph Brodsky,Male
Josiah Royce,Male
José Echegaray,Male
José Ortega y Gasset,Male
José Saramago,Male
Juan Ramón Jiménez,Male
Judith Butler,Female
Jules A. Hoffmann,Male
Jules Lachelier,Male
Julia Kristeva,Female
Julian Huxley,Male
Julien Benda,Male
Julius Wagner-Jauregg,Male
Jürgen Habermas,Male
Karl Adolph Gjellerup,Male
Karl Jaspers,Male
Karl Marx,Male
Kazuo Ishiguro,Male
Keith Ansell-Pearson,Male
Knut Hamsun,Male
Leo Strauss,Male
Leonard Bloomfield,Male
Leonard Lawlor,Male
Leszek Kołakowski,Male
Lev Vygotsky,Male
List of members of the Académie française,Unknown
Louis Althusser,Male
Louis de Broglie,Male
Louise Glück,Female
Lucio Colletti,Male
Lucretius,Unknown
Ludwig Quidde,Male
Ludwig Wittgenstein,Male
Lycée Blaise-Pascal (Clermont-Ferrand),Unknown
Lycée Condorcet,Unknown
Lycée Henri-Quatre,Unknown
Madeleine Rebérioux,Female
"Manchester College, Oxford",Unknown
Marie Curie,Female
Mario Vargas Llosa,Male
Mark Fisher,Male
Martin Buber,Male
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Blanchot,Male
Maurice Maeterlinck,Male
Maurice Merleau-Ponty,Male
Max Horkheimer,Male
Max Weber,Male
Michael Dummett,Male
Michael Tye (philosopher),Male
Michał Bergson,Male
Michel-Jean Sedaine,Unknown
Michel Foucault,Male
Michel Serres,Male
Michel Weber,Male
Miguel Ángel Asturias,Male
Mikhail Sholokhov,Male
Mo Yan,Male
Naguib Mahfouz,Unknown
Ned Block,Male
Nicholas Rescher,Male
Niels Bohr,Male
Niklas Luhmann,Male
Nikos Kazantzakis,Male
Noam Chomsky,Male
Nouvelles Annales de Mathématiques,Unknown
Nyāya Sūtras,Unknown
Octavio Paz,Male
Odysseas Elytis,Male
Olga Tokarczuk,Female
Orhan Pamuk,Male
Oswald Spengler,Male
P. F. Strawson,Unknown
Pablo Neruda,Male
Palais Garnier,Unknown
Patricia Churchland,Female
Patrick Modiano,Male
Patrick White,Male
Paul Churchland,Male
Paul Heyse,Male
Paul Ricœur,Male
Paul Tillich,Male
Paul Valéry,Male
Paul Watzlawick,Male
Paul de Man,Male
Pearl S. Buck,Female
Peter Handke,Male
Peter Sloterdijk,Male
Pierre-Henri Simon,Unknown
Pierre-Joseph Proudhon,Unknown
Pierre Bourdieu,Male
Pierre Teilhard de Chardin,Male
Porte d'Auteuil (Paris Métro),Unknown
Prix Blumenthal,Unknown
Project Gutenberg,Unknown
Puy-de-Dôme,Unknown
Pär Lagerkvist,Male
R. G. Collingwood,Unknown
Ralph B. Perry,Male
Raymond Aron,Male
Raymond Williams,Male
René Viviani,Male
Richard Rorty,Male
Roger Fry,Male
Roger Martin du Gard,Male
Roland Barthes,Male
Roman Ingarden,Male
Roy W. Sellars,Male
Rudolf Carnap,Male
Rudolf Christoph Eucken,Male
Rudyard Kipling,Unknown
Saint-John Perse,Unknown
Samuel Alexander,Male
Samuel Beckett,Male
Samuel Liddell MacGregor Mathers,Male
Saul Bellow,Male
Saul Kripke,Male
Seamus Heaney,Male
Selma Lagerlöf,Female
Shmuel Yosef Agnon,Male
Sri Aurobindo,Unknown
Stanisław II Augustus,Male
Stephen Yablo,Male
Sully Prudhomme,Unknown
Suzanne Guerlac,Female
Svetlana Alexievich,Female
Szmul Zbytkower,Unknown
T. S. Eliot,Unknown
Temerl Bergson,Unknown
Terry Eagleton,Male
Theodor W. Adorno,Male
Thomas Aquinas,Male
Thomas Hobbes,Male
Thomas Mann,Male
Thomas Nagel,Male
Thomas Reid,Male
Tomas Tranströmer,Male
Toni Morrison,Male
V. S. Naipaul,Unknown
Verner von Heidenstam,Male
Vicente Aleixandre,Male
Virginia Woolf,Female
Vladimir Jankélévitch,Male
W. B. Yeats,Unknown
Wallace Stevens,Male
Walter Benjamin,Male
Werner Heisenberg,Male
Wildon Carr,Unknown
Wilhelm Dilthey,Male
Wilhelm von Humboldt,Male
Willard Van Orman Quine,Male
William Faulkner,Male
William Golding,Male
William James,Male
William Pepperell Montague,Male
Winston Churchill,Male
Wisława Szymborska,Unknown
Yasunari Kawabata,Male
Zhuang Zhou,Unknown
Zygmunt Bauman,Male
Éditions Hermann,Unknown
Émile Ollivier,Unknown
Étienne Pavillon,Unknown
Template:1926 Nobel Prize winners,Unknown
Template:Henri Bergson,Unknown
Template talk:Henri Bergson,Unknown
